rank,geo,country,nuts1_name,ai_literacy_gap_index,baseline_score,pillars_available,P1_norm,P2_norm,P3_norm,P4_norm,P5_norm,P6_norm,cluster_id,cluster_label
78,CZ0,Czechia,Česko,0.3134701037896149,0.3138700743667655,6,0.2534435261707989,0.0241214778110727,0.0412757973733583,0.7891891891891892,0.2777777777777778,0.4974126778783959,3,Broadly Resilient
79,SE2,Sweden,Södra Sverige,0.3068405672025542,0.3195275118109992,6,0.2518939393939393,0.2503775067874596,0.1538461538461538,0.0756756756756755,0.6549707602339182,0.5304010349288487,4,Low-Skill Unemployment
80,HU1,Hungary,Közép-Magyarország,0.295011458576815,0.2932102305078928,6,0.2815082644628101,0.0732450823678649,0.0412757973733583,0.754054054054054,0.1842105263157895,0.4249676584734799,3,Broadly Resilient
81,SE1,Sweden,Östra Sverige,0.2771902599460988,0.287671717699109,6,0.2496556473829201,0.2665869645413294,0.1332082551594746,0.0,0.6988304093567252,0.3777490297542043,4,Low-Skill Unemployment
82,NL1,Netherlands,Noord-Nederland,0.2725973497099679,0.2793908650326115,6,0.0714531680440772,0.2024561131362788,0.2682926829268292,0.4081081081081081,0.0643274853801169,0.6617076326002587,3,Broadly Resilient
83,NL4,Netherlands,Zuid-Nederland,0.265172518532446,0.2709771688454452,6,0.078684573002755,0.1243545593139335,0.3358348968105066,0.4297297297297298,0.0175438596491228,0.6397153945666235,3,Broadly Resilient
84,IE0,Ireland,Ireland,0.2497292735261517,0.2412971305212769,6,0.0404614325068871,0.2617694662866254,0.1125703564727955,0.6945945945945946,0.1637426900584795,0.1746442432082794,3,Broadly Resilient
85,DK0,Denmark,Danmark,0.2428037738436938,0.2492853881684482,6,0.0640495867768594,0.2320558248987744,0.2345215759849906,0.2513513513513513,0.2046783625730994,0.5090556274256145,3,Broadly Resilient
86,NL2,Netherlands,Oost-Nederland,0.2254835847857109,0.2292478190949829,6,0.0160123966942149,0.1226140808074961,0.2795497185741088,0.4054054054054054,0.0350877192982456,0.5168175937904269,3,Broadly Resilient
87,NL3,Netherlands,West-Nederland,0.2163311862532048,0.2181890447132939,6,0.0,0.1933541078829105,0.2607879924953095,0.3594594594594594,0.0847953216374269,0.4107373868046571,3,Broadly Resilient
